bodyPart,equipment,name,target
upper legs,smith machine,smith front squat (clean grip),glutes
upper legs,smith machine,smith full squat,glutes
upper legs,smith machine,smith hack squat,glutes
waist,smith machine,smith hip raise,abs
chest,smith machine,smith incline bench press,pectorals
chest,smith machine,smith incline reverse-grip press,pectorals
chest,smith machine,smith incline shoulder raises,serratus anterior
upper legs,smith machine,smith leg press,glutes
upper legs,smith machine,smith low bar squat,glutes
upper arms,smith machine,smith machine bicep curl,biceps
upper arms,smith machine,smith machine decline close grip bench press,triceps
upper arms,smith machine,smith machine incline tricep extension,triceps
chest,smith machine,smith machine reverse decline close grip bench press,pectorals
back,smith machine,smith narrow row,upper back
back,smith machine,smith one arm row,upper back
lower legs,smith machine,smith one leg floor calf raise,calves
shoulders,smith machine,smith rear delt row,delts
lower legs,smith machine,smith reverse calf raises,calves
lower legs,smith machine,smith reverse calf raises,calves
back,smith machine,smith reverse grip bent over row,upper back
chest,smith machine,smith reverse-grip press,pectorals
lower legs,smith machine,smith seated one leg calf raise,calves
shoulders,smith machine,smith seated shoulder press,delts
lower arms,smith machine,smith seated wrist curl,forearms
shoulders,smith machine,smith shoulder press,delts
back,smith machine,smith shrug,traps
upper legs,smith machine,smith single leg split squat,quads
upper legs,smith machine,smith sprint lunge,glutes
upper legs,smith machine,smith squat,glutes
lower arms,smith machine,smith standing back wrist curl,forearms
shoulders,smith machine,smith standing behind head military press,delts
lower legs,smith machine,smith standing leg calf raise,calves
shoulders,smith machine,smith standing military press,delts
upper legs,smith machine,smith sumo squat,glutes
lower legs,smith machine,smith toe raise,calves
shoulders,smith machine,smith upright row,delts
chest,smith machine,smith wide grip bench press,pectorals
chest,smith machine,smith wide grip decline bench press,pectorals
upper legs,barbell,snatch pull,quads
waist,dumbbell,spell caster,abs
back,body weight,sphinx,spine
upper legs,body weight,spider crawl push up,glutes
back,body weight,spine stretch,spine
waist,body weight,spine twist,abs
upper legs,body weight,split squats,quads
upper legs,barbell,squat jerk,quads
upper legs,bosu ball,squat on bosu ball,quads
upper legs,body weight,squat to overhead reach,quads
upper legs,body weight,squat to overhead reach with twist,quads
waist,stability ball,stability ball crunch (full range hands behind head),abs
upper arms,body weight,stalder press,triceps
back,body weight,standing archer,upper back
shoulders,barbell,standing behind neck press,delts
lower legs,body weight,standing calf raise (on a staircase),calves
lower legs,body weight,standing calves,calves
lower legs,body weight,standing calves calf stretch,calves
upper legs,rope,standing hamstring and calf stretch with strap,hamstrings
back,body weight,standing lateral stretch,lats
back,body weight,standing pelvic tilt,spine
upper legs,body weight,standing single leg curl,hamstrings
waist,wheel roller,standing wheel rollerout,abs
cardio,body weight,star jump (male),cardiovascular system
cardio,stationary bike,stationary bike run v. 3,cardiovascular system
cardio,leverage machine,stationary bike walk,cardiovascular system
waist,body weight,straddle maltese,abs
waist,body weight,straddle planche,abs
upper legs,body weight,straight leg outer hip abductor,abductors
chest,body weight,superman push-up,pectorals
waist,body weight,suspended abdominal fallout,abs
chest,body weight,suspended push-up,pectorals
waist,body weight,suspended reverse crunch,abs
back,body weight,suspended row,upper back
upper legs,body weight,suspended split squat,quads
upper legs,body weight,swimmer kicks v. 2 (male),glutes
cardio,body weight,swing 360,cardiovascular system
upper arms,body weight,three bench dip,triceps
upper legs,tire,tire flip,glutes
upper legs,trap bar,trap bar deadlift,glutes
upper arms,body weight,triceps dip,triceps
upper arms,body weight,triceps dip (bench leg),triceps
upper arms,body weight,triceps dip (between benches),triceps
upper arms,body weight,triceps dips floor,triceps
upper arms,body weight,triceps press,triceps
upper arms,body weight,triceps stretch,triceps
waist,body weight,tuck crunch,abs
back,cable,twin handle parallel grip lat pulldown,lats
upper legs,body weight,twist hip lift,glutes
waist,body weight,twisted leg raise,abs
waist,body weight,twisted leg raise (female),abs
back,body weight,two toe touch (male),spine
back,body weight,upper back stretch,upper back
back,body weight,upward facing dog,spine
waist,body weight,v-sit on floor,abs
waist,body weight,vertical leg raise (on parallel bars),abs
cardio,elliptical machine,walk elliptical cross trainer,cardiovascular system
cardio,body weight,walking high knees lunge,cardiovascular system
upper legs,body weight,walking lunge,glutes
cardio,leverage machine,walking on incline treadmill,cardiovascular system
cardio,stepmill machine,walking on stepmill,cardiovascular system
upper arms,weighted,weighted bench dip,triceps
back,weighted,weighted close grip chin-up on dip cage,lats
upper legs,weighted,weighted cossack squats (male),glutes
waist,weighted,weighted crunch,abs
waist,weighted,weighted decline sit-up,abs
lower legs,weighted,weighted donkey calf raise,calves
chest,weighted,weighted drop push up,pectorals
waist,weighted,weighted front plank,abs
shoulders,weighted,weighted front raise,delts
waist,weighted,weighted hanging leg-hip raise,abs
back,weighted,weighted hyperextension (on stability ball),spine
shoulders,weighted,weighted kneeling step with swing,delts
upper legs,weighted,weighted lunge with swing,glutes
back,weighted,weighted muscle up,lats
back,weighted,weighted muscle up (on bar),lats
back,weighted,weighted one hand pull up,lats
waist,weighted,weighted overhead crunch (on stability ball),abs
back,weighted,weighted pull-up,lats
shoulders,weighted,weighted round arm,delts
waist,weighted,weighted russian twist,abs
waist,weighted,weighted russian twist (legs up),abs
waist,weighted,weighted russian twist v. 2,abs
upper arms,medicine ball,weighted seated bicep curl (on stability ball),biceps
waist,weighted,weighted seated twist (on stability ball),abs
waist,weighted,weighted side bend (on stability ball),abs
upper legs,weighted,weighted sissy squat,quads
upper legs,weighted,weighted squat,glutes
upper arms,weighted,weighted standing curl,biceps
lower arms,weighted,weighted standing hand squeeze,forearms
chest,weighted,weighted straight bar dip,pectorals
upper legs,weighted,weighted stretch lunge,glutes
chest,weighted,weighted svend press,pectorals
upper arms,weighted,weighted three bench dips,triceps
upper arms,weighted,weighted tricep dips,triceps
upper arms,weighted,weighted triceps dip on high parallel bars,triceps
waist,wheel roller,wheel rollerout,abs
cardio,body weight,wheel run,cardiovascular system
back,body weight,wide grip pull-up,lats
back,body weight,wide grip rear pull-up,lats
chest,body weight,wide hand push up,pectorals
chest,body weight,wide-grip chest dip on high parallel bars,pectorals
waist,body weight,wind sprints,abs
upper legs,body weight,world greatest stretch,hamstrings
lower arms,body weight,wrist circles,forearms
lower arms,weighted,wrist rollerer,forearms
